"Ticker","Company","Sector","Industry"
"A","Agilent Technologies Inc","Health Care","Medical Equipment & Supplies"
"AA","Alcoa Inc","Non-Renewable Resources","Metals & Mining"
"AAL","American Airlines Group Inc","Transportation","Airlines"
"AAP","Advance Auto Parts Inc","Consumption II","Multiline and Specialty Retailers & Distributors"
"AAPL","Apple Inc","Technology & Communications","Hardware"
"ABBV","AbbVie Inc","Health Care","Pharmaceuticals"
"ABC","AmerisourceBergen Corp","Health Care","Health Care Distributors"
"ABT","Abbott Laboratories","Health Care","Medical Equipment & Supplies"
"ACN","Accenture PLC","Technology & Communications","Software & IT Services"
"ADBE","Adobe Systems Inc","Technology & Communications","Software & IT Services"
"ADI","Analog Devices Inc","Technology & Communications","Semiconductors"
"ADM","Archer-Daniels-Midland Co","Consumption I","Agricultural Products"
"ADP","Automatic Data Processing Inc","Technology & Communications","Software & IT Services"
"ADS","Alliance Data Systems Corp","Financials","Consumer Finance"
"ADSK","Autodesk Inc","Technology & Communications","Software & IT Services"
"AEE","Ameren Corp","Infrastructure","Electric Utilities"
"AEP","American Electric Power Co Inc","Infrastructure","Electric Utilities"
"AES","AES Corp/VA","Infrastructure","Electric Utilities"
"AET","Aetna Inc","Health Care","Managed Care"
"AFL","Aflac Inc","Financials","Insurance"
"AGN","Allergan plc","Health Care","Pharmaceuticals"
"AIG","American International Group Inc","Financials","Insurance"
"AIV","Apartment Investment & Management Co","Infrastructure","Real Estate Owners, Developers & Investment Trusts"
"AIZ","Assurant Inc","Financials","Insurance"
"AJG","Arthur J Gallagher & Co","Financials","Insurance"
"AKAM","Akamai Technologies Inc","Technology & Communications","Software & IT Services"
"ALK","Alaska Air Group Inc","Transportation","Airlines"
"ALL","Allstate Corp/The","Financials","Insurance"
"ALLE","Allegion PLC","Resource Transformation","Electrical & Electronic Equipment"
"ALXN","Alexion Pharmaceuticals Inc","Health Care","Biotechnology"
"AMAT","Applied Materials Inc","Technology & Communications","Semiconductors"
"AME","AMETEK Inc","Resource Transformation","Electrical & Electronic Equipment"
"AMG","Affiliated Managers Group Inc","Financials","Asset Management & Custody Activities"
"AMGN","Amgen Inc","Health Care","Biotechnology"
"AMP","Ameriprise Financial Inc","Financials","Asset Management & Custody Activities"
"AMT","American Tower Corp","Infrastructure","Real Estate Owners, Developers & Investment Trusts"
"AMZN","Amazon.com Inc","Consumption II","E-Commerce"
"AN","AutoNation Inc","Consumption II","Multiline and Specialty Retailers & Distributors"
"ANTM","Anthem Inc","Health Care","Managed Care"
"AON","Aon PLC","Financials","Insurance"
"APA","Apache Corp","Non-Renewable Resources","Oil & Gas - Exploration & Production"
"APC","Anadarko Petroleum Corp","Non-Renewable Resources","Oil & Gas - Exploration & Production"
"APD","Air Products & Chemicals Inc","Resource Transformation","Chemicals"
"APH","Amphenol Corp","Resource Transformation","Electrical & Electronic Equipment"
"ATVI","Activision Blizzard Inc","Technology & Communications","Software & IT Services"
"AVB","AvalonBay Communities Inc","Infrastructure","Real Estate Owners, Developers & Investment Trusts"
"AVGO","Avago Technologies Ltd","Technology & Communications","Semiconductors"
"AVY","Avery Dennison Corp","Resource Transformation","Chemicals"
"AWK","American Water Works Co Inc","Infrastructure","Water Utilities"
"AXP","American Express Co","Financials","Consumer Finance"
"AYI","Acuity Brands Inc","Resource Transformation","Electrical & Electronic Equipment"
"AZO","AutoZone Inc","Consumption II","Multiline and Specialty Retailers & Distributors"
"BA","Boeing Co/The","Resource Transformation","Aerospace & Defense"
"BAC","Bank of America Corp","Financials","Commercial Banks"
"BAX","Baxter International Inc","Health Care","Medical Equipment & Supplies"
"BBBY","Bed Bath & Beyond Inc","Consumption II","Multiline and Specialty Retailers & Distributors"
"BBT","BB&T Corp","Financials","Commercial Banks"
"BBY","Best Buy Co Inc","Consumption II","Multiline and Specialty Retailers & Distributors"
"BCR","CR Bard Inc","Health Care","Medical Equipment & Supplies"
"BDX","Becton Dickinson and Co","Health Care","Medical Equipment & Supplies"
"BEN","Franklin Resources Inc","Financials","Asset Management & Custody Activities"
"BHI","Baker Hughes Inc","Non-Renewable Resources","Oil & Gas - Services"
"BIIB","Biogen Inc","Health Care","Biotechnology"
"BK","Bank of New York Mellon Corp/The","Financials","Asset Management & Custody Activities"
"BLK","BlackRock Inc","Financials","Asset Management & Custody Activities"
"BLL","Ball Corp","Resource Transformation","Containers & Packaging"
"BMY","Bristol-Myers Squibb Co","Health Care","Pharmaceuticals"
"BSX","Boston Scientific Corp","Health Care","Medical Equipment & Supplies"
"BWA","BorgWarner Inc","Transportation","Auto Parts"
"BXP","Boston Properties Inc","Infrastructure","Real Estate Owners, Developers & Investment Trusts"
"C","Citigroup Inc","Financials","Commercial Banks"
"CA","CA Inc","Technology & Communications","Software & IT Services"
"CAG","ConAgra Foods Inc","Consumption I","Processed Foods"
"CAH","Cardinal Health Inc","Health Care","Health Care Distributors"
"CAT","Caterpillar Inc","Resource Transformation","Industrial Machinery & Goods"
"CB","Chubb Corp/The","Financials","Insurance"
"CBG","CBRE Group Inc","Infrastructure","Real Estate Services"
"CBS","CBS Corp","Services","Media Production & Distribution"
"CCI","Crown Castle International Corp","Infrastructure","Real Estate Owners, Developers & Investment Trusts"
"CCL","Carnival Corp","Services","Cruise Lines"
"CELG","Celgene Corp","Health Care","Biotechnology"
"CERN","Cerner Corp","Technology & Communications","Software & IT Services"
"CF","CF Industries Holdings Inc","Resource Transformation","Chemicals"
"CFG","Citizens Financial Group Inc","Financials","Commercial Banks"
"CHD","Church & Dwight Co Inc","Consumption I","Household & Personal Products"
"CHK","Chesapeake Energy Corp","Non-Renewable Resources","Oil & Gas - Exploration & Production"
"CHRW","CH Robinson Worldwide Inc","Transportation","Air Freight & Logistics"
"CI","Cigna Corp","Health Care","Managed Care"
"CINF","Cincinnati Financial Corp","Financials","Insurance"
"CL","Colgate-Palmolive Co","Consumption I","Household & Personal Products"
"CLX","Clorox Co/The","Consumption I","Household & Personal Products"
"CMA","Comerica Inc","Financials","Commercial Banks"
"CMCSA","Comcast Corp","Services","Cable & Satellite"
"CME","CME Group Inc/IL","Financials","Security & Commodity Exchanges"
"CMG","Chipotle Mexican Grill Inc","Services","Restaurants"
"CMI","Cummins Inc","Resource Transformation","Industrial Machinery & Goods"
"CMS","CMS Energy Corp","Infrastructure","Electric Utilities"
"CNC","Centene Corp","Health Care","Managed Care"
"CNP","CenterPoint Energy Inc","Infrastructure","Electric Utilities"
"COF","Capital One Financial Corp","Financials","Consumer Finance"
"COG","Cabot Oil & Gas Corp","Non-Renewable Resources","Oil & Gas - Exploration & Production"
"COH","Coach Inc","Consumption II","Apparel, Accessories & Footwear"
"COL","Rockwell Collins Inc","Resource Transformation","Aerospace & Defense"
"COP","ConocoPhillips","Non-Renewable Resources","Oil & Gas - Exploration & Production"
"COST","Costco Wholesale Corp","Consumption II","Multiline and Specialty Retailers & Distributors"
"CPB","Campbell Soup Co","Consumption I","Processed Foods"
"CPGX","Columbia Pipeline Group Inc","Non-Renewable Resources","Oil & Gas - Midstream"
"CRM","salesforce.com inc","Technology & Communications","Software & IT Services"
"CSCO","Cisco Systems Inc","Technology & Communications","Hardware"
"CSRA","CSRA Inc","Technology & Communications","Software & IT Services"
"CSX","CSX Corp","Transportation","Rail Transportation"
"CTAS","Cintas Corp",".Security currently not part of a SICS industry",".Security currently not part of a SICS industry"
"CTL","CenturyLink Inc","Technology & Communications","Telecommunications"
"CTSH","Cognizant Technology Solutions Corp","Technology & Communications","Software & IT Services"
"CTXS","Citrix Systems Inc","Technology & Communications","Software & IT Services"
"CVC","Cablevision Systems Corp","Services","Cable & Satellite"
"CVS","CVS Health Corp","Consumption II","Drug Retailers & Convenience Stores"
"CVX","Chevron Corp","Non-Renewable Resources","Integrated Oil & Gas"
"CXO","Concho Resources Inc","Non-Renewable Resources","Oil & Gas - Exploration & Production"
"D","Dominion Resources Inc/VA","Infrastructure","Electric Utilities"
"DAL","Delta Air Lines Inc","Transportation","Airlines"
"DD","EI du Pont de Nemours & Co","Resource Transformation","Chemicals"
"DE","Deere & Co","Resource Transformation","Industrial Machinery & Goods"
"DFS","Discover Financial Services","Financials","Consumer Finance"
"DG","Dollar General Corp","Consumption II","Multiline and Specialty Retailers & Distributors"
"DGX","Quest Diagnostics Inc","Health Care","Health Care Delivery"
"DHI","DR Horton Inc","Infrastructure","Home Builders"
"DHR","Danaher Corp","Health Care","Medical Equipment & Supplies"
"DIS","Walt Disney Co/The","Services","Media Production & Distribution"
"DISCA","Discovery Communications Inc","Services","Media Production & Distribution"
"DISCK","Discovery Communications Inc","Services","Media Production & Distribution"
"DLPH","Delphi Automotive PLC","Transportation","Auto Parts"
"DLR","Digital Realty Trust Inc","Infrastructure","Real Estate Owners, Developers & Investment Trusts"
"DLTR","Dollar Tree Inc","Consumption II","Multiline and Specialty Retailers & Distributors"
"DNB","Dun & Bradstreet Corp/The","Services","Professional Services"
"DO","Diamond Offshore Drilling Inc","Non-Renewable Resources","Oil & Gas - Services"
"DOV","Dover Corp","Resource Transformation","Industrial Machinery & Goods"
"DOW","Dow Chemical Co/The","Resource Transformation","Chemicals"
"DPS","Dr Pepper Snapple Group Inc","Consumption I","Non-Alcoholic Beverages"
"DRI","Darden Restaurants Inc","Services","Restaurants"
"DTE","DTE Energy Co","Infrastructure","Electric Utilities"
"DUK","Duke Energy Corp","Infrastructure","Electric Utilities"
"DVA","DaVita HealthCare Partners Inc","Health Care","Health Care Delivery"
"DVN","Devon Energy Corp","Non-Renewable Resources","Oil & Gas - Exploration & Production"
"EA","Electronic Arts Inc","Technology & Communications","Software & IT Services"
"EBAY","eBay Inc","Consumption II","E-Commerce"
"ECL","Ecolab Inc",".Security currently not part of a SICS industry",".Security currently not part of a SICS industry"
"ED","Consolidated Edison Inc","Infrastructure","Electric Utilities"
"EFX","Equifax Inc","Services","Professional Services"
"EIX","Edison International","Infrastructure","Electric Utilities"
"EL","Estee Lauder Cos Inc/The","Consumption I","Household & Personal Products"
"EMC","EMC Corp/MA","Technology & Communications","Hardware"
"EMN","Eastman Chemical Co","Resource Transformation","Chemicals"
"EMR","Emerson Electric Co","Resource Transformation","Electrical & Electronic Equipment"
"ENDP","Endo International PLC","Health Care","Pharmaceuticals"
"EOG","EOG Resources Inc","Non-Renewable Resources","Oil & Gas - Exploration & Production"
"EQIX","Equinix Inc","Infrastructure","Real Estate Owners, Developers & Investment Trusts"
"EQR","Equity Residential","Infrastructure","Real Estate Owners, Developers & Investment Trusts"
"EQT","EQT Corp","Non-Renewable Resources","Oil & Gas - Exploration & Production"
"ES","Eversource Energy","Infrastructure","Electric Utilities"
"ESRX","Express Scripts Holding Co",".Security currently not part of a SICS industry",".Security currently not part of a SICS industry"
"ESS","Essex Property Trust Inc","Infrastructure","Real Estate Owners, Developers & Investment Trusts"
"ETFC","E*TRADE Financial Corp","Financials","Asset Management & Custody Activities"
"ETN","Eaton Corp PLC","Resource Transformation","Electrical & Electronic Equipment"
"ETR","Entergy Corp","Infrastructure","Electric Utilities"
"EW","Edwards Lifesciences Corp","Health Care","Medical Equipment & Supplies"
"EXC","Exelon Corp","Infrastructure","Electric Utilities"
"EXPD","Expeditors International of Washington Inc","Transportation","Air Freight & Logistics"
"EXPE","Expedia Inc","Technology & Communications","Internet Media & Services"
"EXR","Extra Space Storage Inc","Infrastructure","Real Estate Owners, Developers & Investment Trusts"
"F","Ford Motor Co","Transportation","Automobiles"
"FAST","Fastenal Co","Consumption II","Multiline and Specialty Retailers & Distributors"
"FB","Facebook Inc","Technology & Communications","Internet Media & Services"
"FCX","Freeport-McMoRan Inc","Non-Renewable Resources","Metals & Mining"
"FDX","FedEx Corp","Transportation","Air Freight & Logistics"
"FE","FirstEnergy Corp","Infrastructure","Electric Utilities"
"FFIV","F5 Networks Inc","Technology & Communications","Hardware"
"FIS","Fidelity National Information Services Inc","Financials","Consumer Finance"
"FISV","Fiserv Inc","Financials","Consumer Finance"
"FITB","Fifth Third Bancorp","Financials","Commercial Banks"
"FL","Foot Locker Inc","Consumption II","Apparel, Accessories & Footwear"
"FLIR","FLIR Systems Inc","Technology & Communications","Hardware"
"FLR","Fluor Corp","Infrastructure","Engineering & Construction Services"
"FLS","Flowserve Corp","Resource Transformation","Industrial Machinery & Goods"
"FMC","FMC Corp","Resource Transformation","Chemicals"
"FOX","Twenty-First Century Fox Inc","Services","Media Production & Distribution"
"FOXA","Twenty-First Century Fox Inc","Services","Media Production & Distribution"
"FRT","Federal Realty Investment Trust","Infrastructure","Real Estate Owners, Developers & Investment Trusts"
"FSLR","First Solar Inc","Renewable Resources & Alternative Energy","Solar Energy"
"FTI","FMC Technologies Inc","Non-Renewable Resources","Oil & Gas - Services"
"FTR","Frontier Communications Corp","Technology & Communications","Telecommunications"
"GAS","AGL Resources Inc","Infrastructure","Gas Utilities"
"GD","General Dynamics Corp","Resource Transformation","Aerospace & Defense"
"GE","General Electric Co","Resource Transformation","Electrical & Electronic Equipment"
"GGP","General Growth Properties Inc","Infrastructure","Real Estate Owners, Developers & Investment Trusts"
"GILD","Gilead Sciences Inc","Health Care","Biotechnology"
"GIS","General Mills Inc","Consumption I","Processed Foods"
"GLW","Corning Inc","Technology & Communications","Hardware"
"GM","General Motors Co","Transportation","Automobiles"
"GOOG","Alphabet Inc","Technology & Communications","Internet Media & Services"
"GOOGL","Alphabet Inc","Technology & Communications","Internet Media & Services"
"GPC","Genuine Parts Co","Consumption II","Multiline and Specialty Retailers & Distributors"
"GPN","Global Payments Inc","Financials","Consumer Finance"
"GPS","Gap Inc/The","Consumption II","Apparel, Accessories & Footwear"
"GRMN","Garmin Ltd","Technology & Communications","Hardware"
"GS","Goldman Sachs Group Inc/The","Financials","Investment Banking & Brokerage"
"GT","Goodyear Tire & Rubber Co/The","Transportation","Auto Parts"
"GWW","WW Grainger Inc","Resource Transformation","Industrial Machinery & Goods"
"HAL","Halliburton Co","Non-Renewable Resources","Oil & Gas - Services"
"HAR","Harman International Industries Inc","Transportation","Auto Parts"
"HAS","Hasbro Inc","Consumption II","Toys & Sporting Goods"
"HBAN","Huntington Bancshares Inc/OH","Financials","Commercial Banks"
"HBI","Hanesbrands Inc","Consumption II","Apparel, Accessories & Footwear"
"HCA","HCA Holdings Inc","Health Care","Health Care Delivery"
"HCN","Welltower Inc","Infrastructure","Real Estate Owners, Developers & Investment Trusts"
"HCP","HCP Inc","Infrastructure","Real Estate Owners, Developers & Investment Trusts"
"HD","Home Depot Inc/The","Consumption II","Multiline and Specialty Retailers & Distributors"
"HES","Hess Corp","Non-Renewable Resources","Oil & Gas - Exploration & Production"
"HIG","Hartford Financial Services Group Inc/The","Financials","Insurance"
"HOG","Harley-Davidson Inc","Transportation","Automobiles"
"HOLX","Hologic Inc","Health Care","Medical Equipment & Supplies"
"HON","Honeywell International Inc","Resource Transformation","Electrical & Electronic Equipment"
"HOT","Starwood Hotels & Resorts Worldwide Inc","Services","Hotels & Lodging"
"HP","Helmerich & Payne Inc","Non-Renewable Resources","Oil & Gas - Services"
"HPE","Hewlett Packard Enterprise Co","Technology & Communications","Software & IT Services"
"HPQ","HP Inc","Technology & Communications","Hardware"
"HRB","H&R Block Inc","Services","Professional Services"
"HRL","Hormel Foods Corp","Consumption I","Meat, Poultry & Dairy"
"HRS","Harris Corp","Resource Transformation","Aerospace & Defense"
"HSIC","Henry Schein Inc","Health Care","Health Care Distributors"
"HST","Host Hotels & Resorts Inc","Infrastructure","Real Estate Owners, Developers & Investment Trusts"
"HSY","Hershey Co/The","Consumption I","Processed Foods"
"HUM","Humana Inc","Health Care","Managed Care"
"IBM","International Business Machines Corp","Technology & Communications","Software & IT Services"
"ICE","Intercontinental Exchange Inc","Financials","Security & Commodity Exchanges"
"IFF","International Flavors & Fragrances Inc","Resource Transformation","Chemicals"
"ILMN","Illumina Inc","Health Care","Medical Equipment & Supplies"
"INTC","Intel Corp","Technology & Communications","Semiconductors"
"INTU","Intuit Inc","Technology & Communications","Software & IT Services"
"IP","International Paper Co","Resource Transformation","Containers & Packaging"
"IPG","Interpublic Group of Cos Inc/The","Services","Advertising & Marketing"
"IR","Ingersoll-Rand PLC","Resource Transformation","Electrical & Electronic Equipment"
"IRM","Iron Mountain Inc","Infrastructure","Real Estate Owners, Developers & Investment Trusts"
"ISRG","Intuitive Surgical Inc","Health Care","Medical Equipment & Supplies"
"ITW","Illinois Tool Works Inc","Resource Transformation","Industrial Machinery & Goods"
